,ind,area,ratio_low,ratio_high,ratio_fit_low,ratio_fit_high,slope_low,slope_high,ratio_fit_diff,ratio_fit_ratio,p
7,34,2,0.0852340174217496,0.1464907632826191,0.08567038247545271,0.14543669239439594,0.00012469530423546684,1.1772964009280529e-05,0.05976630991894323,1.6976309453978238,0.0016799725466815608
484,46,4,0.16191842524829392,0.22568488289958147,0.16237954940201788,0.22425573287350073,0.00034460742002680417,4.6496758156207136e-05,0.061876183471482854,1.3810589677046727,0.0017390135959847646
44,10,4,0.07394434087020109,0.13726599152265148,0.07331074284510285,0.1375121339154963,4.2676323804395666e-05,4.613178649672501e-05,0.06420139107039345,1.8757432891662766,0.0017501263731491943
231,38,1,0.0750931846257427,0.1384204197107865,0.07595256666376286,0.13806768815930887,0.00010371999941959088,2.2530431725430917e-05,0.062115121495546,1.817814647008911,0.0017577656169034653
211,9,1,0.14579256508472896,0.2206996717712951,0.14864786966542104,0.21847296679608344,0.0005075756739641244,4.5635193990847785e-05,0.0698250971306624,1.469734933220542,0.0017620222324833434
481,46,1,0.05046237200770388,0.06640179614215826,0.05092373417924643,0.06633814471072434,3.831364126352592e-05,-1.1376819008386486e-05,0.015414410531477914,1.3026959978469124,0.0017851646212031077
77,45,2,0.0650460768471311,0.15412086624747087,0.06499148757970845,0.15478513129463234,0.0001058168671694039,6.446301283564144e-05,0.08979364371492389,2.3816216101346654,0.0018025106491971119
441,42,1,0.1594384871292842,0.2518945696145069,0.15860216472308006,0.2508143467201997,1.2765150176132511e-05,1.380190629089236e-05,0.09221218199711964,1.5814055700823657,0.0018134861767479444
89,82,4,0.24131142457638746,0.30046659609314813,0.24743341455185117,0.29517036375395556,0.0009394430255674587,-3.2032116102376877e-06,0.04773694920210439,1.192928466385856,0.0018471712312340626
143,21,3,0.08904889218327958,0.1760521936144963,0.08874830346449758,0.1759161692172784,0.0002735154660064766,4.409603903184706e-05,0.08716786575278082,1.9821919107180568,0.001862344897860885
155,35,0,0.09216008889277359,0.16548128990749622,0.09196837591926198,0.16587392401509146,3.782920719286292e-05,2.5651912888184156e-05,0.07390554809582948,1.803597403532605,0.0018690050356770032
250,59,0,0.10169534721560035,0.1932626847937269,0.10306967431621915,0.1913201794852956,0.00023238096196176444,-7.408774863276063e-06,0.08825050516907644,1.8562218300828497,0.0018721045289004405
281,39,1,0.16842366594334235,0.2177632696963607,0.16993807924534748,0.21621678034711217,0.0003751511665268515,1.919765728410044e-05,0.046278701101764685,1.2723268457974624,0.0018965755609892537
119,54,4,0.04353075957496186,0.10273079055038567,0.04375129364355013,0.10194962447275213,0.00021525815863581807,1.2717079010701697e-05,0.058198330829202,2.3302082288892882,0.0019304428491225159
50,61,0,0.13703303297110056,0.17289995999995564,0.1354399912302459,0.1736513304375571,-0.00020163028113021338,-1.0115795997563002e-06,0.03821133920731121,1.282127448918337,0.0019346497231504478
209,88,4,0.10859821087922086,0.21918283725163154,0.11059287333288136,0.21801868470807406,0.0002578183695301858,4.1759900411285806e-05,0.1074258113751927,1.971362874819647,0.0019377532433551478
497,81,2,0.08320707606236602,0.12535496900382603,0.08372293537687261,0.12479094887835482,0.00016325972946812763,2.1677963741646924e-05,0.0410680135014822,1.4905228575254508,0.0019386786213045494
450,91,0,0.07646547040853097,0.15607728717656136,0.07754801168636377,0.15550229928965348,0.00010258992764374436,1.901696157736326e-05,0.07795428760328971,2.005239024290772,0.001944020018197961
114,93,4,0.17188807689992655,0.24384015232440837,0.1728980947779201,0.24282049188651184,0.00018406755117492831,2.0550212890052956e-05,0.06992239710859174,1.4044139248521157,0.001978160425523546
64,92,4,0.16402751279328573,0.24014913809518018,0.1663397843590483,0.23771404813322675,0.0005715266809403331,2.057077099178962e-05,0.07137426377417844,1.4290871486289498,0.001978677216058407
368,36,3,0.07647388236292851,0.14917749694994328,0.07666191617221901,0.14823496529771937,0.00024790036475428413,2.5811025964645677e-05,0.07157304912550036,1.9336193601620046,0.001979353288858618
184,74,4,0.11650472577361516,0.20749497168807415,0.1160423632550976,0.2077040063632216,7.207497263852368e-05,3.0126338571296032e-05,0.09166164310812398,1.7898981073543192,0.0019961601596997056
400,52,0,0.14787662163430182,0.27090433807707154,0.15066628121497186,0.2681717644077575,0.0006104380361352158,2.5611936878117572e-05,0.11750548319278561,1.7799056447482622,0.00200254736133203
25,86,0,0.11582174904568576,0.16574760137253172,0.11445560770022518,0.16630646107025382,-3.998653858604455e-05,5.4708523826115024e-05,0.051850853370028635,1.45302151997509,0.0020072070986049345
194,11,4,0.15064708652559122,0.17927865600364545,0.14940696581885105,0.18067408211623995,-0.00015630020478599966,1.407726682595132e-05,0.0312671162973889,1.2092748228037695,0.0020309621768126616
310,63,0,0.09381588718664378,0.18901608309862902,0.09460888147264318,0.188347358574101,0.0002365281114455257,3.0595649522942356e-05,0.09373847710145783,1.9907999718669431,0.002038400957837474
27,86,2,0.21847950575984565,0.3232616060311856,0.21913696677273978,0.32355309530225207,-0.00011480485959471275,4.407619077019276e-05,0.10441612852951229,1.4764879703651235,0.0020438991614286192
218,99,3,0.1173676370109995,0.15416745470938614,0.11799757416001491,0.15412145333588664,-2.603193704994952e-05,1.1470052338530906e-05,0.03612387917587173,1.3061408629204923,0.002062466374155471
94,20,4,0.09790326476876669,0.19052171980728194,0.099428996647351,0.18888000595974475,0.00031214836501026794,2.9774822038271e-05,0.08945100931239375,1.8996471082741928,0.0020651498338076684
302,90,2,0.07762065454755142,0.15386958757592484,0.07919870633766832,0.1525705525038546,0.0001530594492399128,8.562327703961938e-06,0.07337184616618628,1.9264273314435354,0.0020704183243459647
88,82,3,0.22647773522444364,0.23323752892876073,0.22528827770938906,0.2330635489205272,-6.873614476087247e-06,-1.4477717274862967e-05,0.007775271211138135,1.0345125422866779,0.002090333807144134
135,83,0,0.09913419024285393,0.10426175496228147,0.09675953303401927,0.106256614931739,-0.0004648772303355809,-3.4128625864751495e-06,0.009497081897719736,1.0981513820904933,0.00210021043041053
192,11,2,0.13735977002826164,0.1751023085069414,0.138808818041546,0.17327044777692463,0.0001910446118466403,4.244872434601258e-06,0.03446162973537864,1.2482668624486388,0.0021010036600642786
480,46,0,0.2698537596323282,0.31372948613145624,0.26922977031503864,0.3140792704784206,-8.805030371505575e-05,2.5793242786579566e-05,0.04484950016338196,1.1665844758211599,0.002106138976500704
282,39,2,0.26980649949262664,0.3211990824459854,0.2700133011453678,0.321164312908013,1.87353914256094e-05,1.0954989315807495e-06,0.05115101176264519,1.189438859291998,0.0021094162059861043
292,78,2,0.11629838281445384,0.16148821976422897,0.1183523616471381,0.16006636516315725,0.00022999554460081075,-1.004550165026461e-05,0.04171400351601916,1.3524560299048993,0.0021436041284263207
361,67,1,0.19315680133773225,0.27479255575127604,0.19417239372624415,0.27304506074685386,0.00032486166891845466,3.094125753727305e-05,0.07887266702060972,1.4061991795384112,0.002149438258328304
164,64,4,0.25923131174142117,0.25449288862295877,0.2606928695577435,0.2522748089833027,0.00046723558971075373,-2.9420684521100155e-05,-0.008418060574440833,0.9677088959559125,0.0021707333789934584
443,42,3,0.24072693735137832,0.340441181155989,0.2418881328579552,0.3393784044112894,0.00012550675968838403,3.145818643811634e-05,0.0974902715533342,1.403038670816413,0.0021802467762234903
170,6,0,0.2195864359441982,0.31689308353681594,0.2196975880389362,0.3166162495798719,0.00011854156402774244,3.4702962158373456e-05,0.0969186615409357,1.4411457695373477,0.0021899893356265533
475,17,0,0.08431946770364386,0.14180299440602853,0.084804550647183,0.14083142471392424,0.00012130715961990782,3.1542758971520794e-05,0.05602687406674124,1.660658816527817,0.002196576978421619
91,20,1,0.11930062712259355,0.20636073591236953,0.11979455690837766,0.20636870910216973,-2.179262676755361e-05,3.769692266256012e-05,0.08657415219379207,1.7226885296633843,0.0022330629882181025
160,64,0,0.302072129842447,0.28882827043191556,0.30405739018824085,0.287305639135343,0.00018859579756304342,2.2229095447622188e-05,-0.016751751052897834,0.9449059565941584,0.0022355904513858458
215,99,0,0.2056746077438934,0.255531021898636,0.20490316164256014,0.2554765078882821,3.544734520704616e-05,2.9529305523781362e-05,0.050573346245721934,1.2468158413970387,0.0022460568640885526
60,92,0,0.09972340339895336,0.12921478847889112,0.10070612460825074,0.1281461616763462,0.00014662225988403541,9.0185733883966e-06,0.027440037068095474,1.2724763481351098,0.002252251474181104
364,67,4,0.15486912097204725,0.2082716876646819,0.15513655318256628,0.20734087365790052,0.00018037683176459011,2.762669840938052e-05,0.05220432047533424,1.3365056100859716,0.0022552930291532894
127,44,2,0.13006775602882525,0.24299452012820053,0.131078013417709,0.2413675550792827,0.00039669568069875303,4.2993046024595295e-05,0.1102895416615737,1.8414038234628394,0.0022609820750435225
200,98,0,0.1621391605643553,0.25586550465187885,0.1621291053263392,0.255420782078058,0.00021761655901428792,1.292367341727946e-05,0.09329167675171882,1.5754159721287428,0.002271106201954013
96,71,1,0.18233457087816543,0.2850453329739142,0.18173023414599127,0.28504848595331395,-5.628122982011015e-05,7.908146869166555e-05,0.10331825180732268,1.5685253876045906,0.002293009172080952
333,47,3,0.15570329289116708,0.2079626292243643,0.15485663780207878,0.2079857686292819,0.00010798700755870715,3.165494455750542e-05,0.05312913082720311,1.3430859121138035,0.002293266779728382
351,53,1,0.17027378266326162,0.255601520717465,0.171176722779513,0.2548142160984613,0.00012255946238164694,3.86228592432187e-05,0.08363749331894826,1.4886031930093608,0.0023256678354561977
131,15,1,0.21145504860581651,0.1744171056868835,0.216394539582092,0.17315423970890823,-6.730957183450927e-05,-3.89428452525297e-05,-0.043240299873183785,0.8001784150529361,0.002334175004353636
